Rank,Company,Category,HQ Location,# Employees,Valuation,Founders
1,Stripe,Economic infrastructure,"Dublin, Ireland; San Francisco, California, United States","8,000",$95 B,Patrick Collison
2,Databricks,Data and AI platform,"San Francisco, California, United States","4,000",$38 B,Ali Ghodsi
3,Canva,Visual communication platform,"Sydney, Australia","3,100",$40 B,Melanie Perkins
4,Miro,Digital collaboration,"San Francisco, California, United States","1,744",$17.5 B,Andrey Khusid
5,Figma,Collaborative design platform,"San Francisco, California, United States",750,$10 B,Dylan Field
6,Airtable,App building platform,"San Francisco, California, United States","1,000",$11.7 B,Howie Liu
7,ServiceTitan,Contractor software,"Glendale, California, United States","2,300",$9.5 B,Ara Mahdessian
8,Talkdesk,Contact center software,"San Francisco, California, United States","2,100",$10 B,Tiago Paiva
9,Plaid,Financial data connectivity,"San Francisco, California, United States","1,200",$13.4 B,Zach Perret
10,Attentive,SMS Marketing,"Remote, United States","1,300",$7 B,Brian Long
11,Celonis,Process automation,"Munich, Germany; New York, New York, United States","2,800",$11 B,"Alex Rinke, Bastian Nominacher"
12,Grammarly,Communication assistance,"San Francisco, California, United States",800,$13 B,Brad Hoover
13,Zapier,Workflow automation,"Remote, United States",650,$5 B,Wade Foster
14,Gong,Revenue intelligence,"Palo Alto, California, United States","1,000",$7.25 B,Amit Bendov
15,Checkout.com,Payments platform,"London, United Kingdom","2,000",$40 B,Guillaume Pousaz
16,Checkr,Background checks,"San Francisco, California, United States","1,300",$5 B,Daniel Yanisse
17,Gusto,"Payroll, benefits and HR","San Francisco, California, United States","2,400",$9.5 B,Josh Reeves
18,Klaviyo,Email and SMS marketing,"Boston, Massachusetts, United States","1,559",$9.5 B,Andrew Bialecki
19,Carta,Equity management,"San Francisco, California, United States","1,618",$7.4 B,Henry Ward
20,Snyk,Developer security,"Boston, Massachusetts, United States","1,300",$8.6 B,Peter McKay
21,Calendly,Automated scheduling platform,"Atlanta, Georgia, United States",500,$3 B,Tope Awotona
