Rank,Company,Category,Full Description
1,American Express,Consumer Payments,"Founded in 1850 and now headquartered in New York City, American Express is a multinational corporation specializing in credit card services. As a company, they know that with the right backing, people and businesses have the power to progress in incredible ways. Whether they’re supporting their customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, the more than 63,000 team members at American Express are constantly striving to uphold their powerful backing promise to their customers and each other every day.

Over the course of more than 170 years in business, the company has transformed—from helping evacuate travelers during World Wars, to ensuring the safety of customers’ funds during the Great Depression in the U.S., to creating the Shop Small® movement to help small businesses recover from the Financial Crisis, to providing aid to communities impacted by many natural disasters and so much more.

For generations, the key to the company’s success has been the determination and resilience of American Express colleagues. Now, as a globally integrated payments company, American Express employees work together to provide customers with access to products, insights, and world-class experiences that enrich lives and build business success. The company has been the recipient of countless awards and honors over the years. Recently, in 2021 American Express received a Human Rights Campaign Corporate Equality Index Score of 100, and it was named to the Fortune 100 Best Companies to Work For list in both 2020 and 2021.

"
2,PayPal,Consumer Payments,"San Jose online payment solution great PayPal is celebrating another year of breaking down financial barriers for its users. Although not untouched by the market turmoil that has threatened fintechs across the board, the company has navigated this difficult time with aplomb, launching a new small business grant program with subsidiary Venmo and adjusting its long-term strategy to continue to thrive for years to come.

A great deal has already been written in celebration of PayPal’s trailblazing rise to stardom. Since its founding in 1998, the company has grown to support over 325 million personal and business accounts in 202 countries, and has been honored by industry organizations dozens of times for its achievements in bringing safe, professional financial services to millions worldwide.

"
3,Mastercard,Consumer Payments,"Mastercard, founded in 1966 and headquartered in Purchase, New York, is a global technology company in the payments industry. Its mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible.

Using secure data and networks, partnerships, and passion, Mastercard’s innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential. Mastercard’s decency quotient, or DQ, drives its culture and everything it does inside and outside of the company. With connections across more than 210 countries and territories, it is building a sustainable world that unlocks priceless possibilities for all.

"
4,Fiserv,Payment Solutions,"Wisconsin-based financial technology service multinational Fiserv has seen its fortunes continue to rise in the nearly four decades since its founding. Most recently, it has stood out for its unceasing improvements to the Clover business management platform, continuing a history of excellence that has propelled it to be named one of the world’s most admired companies by Fortune eight years running.

Fiserv’s history is characterized by remarkably rapid growth, going public less than two years after its establishment in 1984 and pursuing an assertive strategy of acquiring rival fintechs and launching new digital-first banking and payment products. The result is a company that manages an astonishing 12,000 financial transactions every second, working to support the financial goals of its 1.4 billion account holders.

"
5,Visa,Consumer Payments,"Visa is a world leader in digital payments, facilitating transactions between consumers, merchants, financial institutions, and government entities across more than 200 countries and territories. The company’s purpose is to uplift everyone, everywhere by being the best way to pay and be paid.

Visa was founded in 1958 and is headquartered in Foster City, California. Its more than 21,000 team members facilitated the processing of 232.5 billion transaction totaling north of $13 trillion in 2021 alone. There are currently more than 3.8 billion Visa cards worldwide, which are accepted at more than 100 million merchant locations.

"
6,Intuit,Accounting Solutions,"The makers of legendary consumer and professional financial software offerings QuickBooks, TurboTax, Credit Karma, Mint, and more, California fintech giant Intuit has distinguished itself with a continuing trend of market disruption and client service. It employs a team of more than 14,000 in its 20 global offices, harnessing the latest in financial technology to post $9.6 billion in revenue last year.

The company was established by Scott Cook and Tom Proulx in Palo Alto in 1983. From its position at the forefront of consumer financial software, Intuit has grown to serve 100 million customers around the world, offering a unique, customer-first business model.

"
7,Finastra,Banking Technology,"Finastra is a global provider of financial software applications and marketplaces, and launched the leading open platform for innovation, FusionFabric.cloud, in 2017. It serves institutions of all sizes, providing award-winning solutions and services across Lending, Payments, Treasury & Capital Markets, and Retail & Digital Banking for banks to support direct banking relationships and grow through indirect channels, such as embedded finance and Banking-as-a-Service. Its pioneering approach and commitment to open finance and collaboration is why it is trusted by roughly 8,600 institutions, including 90 of the world’s top 100 banks.

"
8,Klarna,Customer Payments,"Even in an industry as driven by disruptors as fintech, Swedish payment services provider Klarna is widely hailed as a one-of-a-kind success story. Growing out of a modest startup in Stockholm in 2005, it now facilitates an incredible two million transactions every day, working to provide its popular buy now, pay later offerings to more than 147 million customers around the globe.

In a sign of just how large the company looms in the fintech world, Klarna dominated headlines this year with its expert management of continuing global financial disturbances. It is set to continue its remarkable history of growth, announcing the upcoming release of physical Klarna-branded Visa cards to U.S. markets.

"
9,Guaranteed Rate,Mortgage Solutions,"Guaranteed Rate is a privately owned residential mortgage company run out of Chicago. With 850 offices in all 50 states, it has been recognized as the fastest-growing mortgage company in the Midwest, posting an impressive 371% growth over just two years.

While Guaranteed Rate’s fiscal achievements have brought the company to the forefront of the mortgage industry, it has also distinguished itself as an excellent workplace and an unparalleled lender to customers across the country. Founded by entrepreneur Victor Ciardelli, it is the third largest retail mortgage lender in the country, servicing more than $116 billion in loans.

"
10,Block,Merchant Payments,"Known by the name of its namesake product, Square, until the end of 2021, financial services and digital payments company Block has changed how people buy and sell in their everyday lives. The company has driven innovation in multiple fields, supporting new hardware and software products for Square as well as Cash App, Afterpay, Weebly, and music streaming service Tidal.

The company was started by Jack Dorsey and Jim McKelvey in 2009, born out of an inability to conduct simple transactions involving credit cards. Since that time, Block has provided payment support for billions of dollars in transactions, generating over $17.6 billion in revenue for the company in 2021 alone.

"
